"In trading, what does it mean to be 'long' an asset?",Being 'long' an asset means you benefit if its value goes up.
"If you are 'short' a stock, what market movement do you want to see?",You want the stock price to go down.
"A _____ gives the right, but not the obligation, to buy an asset at a fixed price.",call option
What financial instrument gives the right to sell an asset at a fixed price?,A put option.
"According to the desk view, most structured products are a combination of a bond plus what?",Short puts and short calls.
"In trading jargon, what is a 'spread' in its most basic sense?","A 'spread' is simply a difference between two things, such as two interest rates or prices."
What does it mean when a trader says the 'yield curve shifted up'?,It means all interest rates across different maturities moved up together in a parallel movement.
What is a 'knock-in' feature in a structured product?,It is a feature that activates only if a specific price level is breached.
A feature that terminates a structured product if a certain price level is hit is known as a _____.,knock-out
What is the primary function of a 'quanto' feature in a structured product?,It removes the foreign exchange (FX) risk for the investor by fixing the payoff in their home currency.
"From a trader's perspective, what does the term 'quanto' imply about the product's cost?",It implies there is an embedded foreign exchange (FX) hedge that costs money and is priced into the product.
"In trading, what does the term 'basis' represent?",'Basis' represents a gap or persistent mispricing between a theoretical value and a real market price for related instruments.
What is the practical meaning of 'hedging' on a trading desk?,"Hedging is replacing one risk with another, more manageable or better-understood risk; it is not about eliminating risk completely."
What is the difference between 'Price' and 'Value' from a desk's perspective?,"'Price' is what the market trades at right now, whereas 'Value' is what you believe the instrument is truly worth."
Define 'Mark-to-Market' (MTM).,Mark-to-Market (MTM) is the unrealized profit or loss on a position if you were to close the trade today at the current market price.
What is the key difference between 'realized P&L' and 'unrealized P&L'?,"Realized P&L is from closed trades where money has actually been made or lost, while unrealized P&L is the paper gain or loss on open trades."
Margin calls are primarily concerned with which type of P&L?,Margin calls are concerned with unrealized P&L.
"In finance, what does 'volatility' measure?","Volatility measures how violently prices move, not the direction in which they move."
What is 'realized volatility'?,Realized volatility is the historical volatility measured from past price movements of an asset.
"The market's expectation of future volatility, which is embedded in option prices, is known as _____.",implied volatility
"From a desk's perspective, selling options is equivalent to selling what?",Selling options is equivalent to selling implied volatility.
What does the Greek letter 'Delta' represent in options trading?,Delta indicates how much an option's price is expected to move for a small change in the underlying asset's price.
"An equity swap, which provides pure directional exposure, is considered a _____ product.",pure delta
What does 'Gamma' tell a trader about their position?,Gamma indicates how fast the delta of a position changes as the underlying asset's price moves.
Yield-generating structured products are typically described as being 'short _____' due to their fragile and explosive risk profile in a crash.,gamma
What is 'Theta' in the context of options?,Theta measures the rate of decline in the value of an option due to the passage of time.
"If you are short options, you have _____ theta, meaning you collect 'rent' as time passes.",positive
What does 'Vega' measure for an options position?,Vega measures the sensitivity of an option's price to changes in the implied volatility of the underlying asset.
Products like autocallables are described as being massively 'short _____' because they benefit from calm markets and are hurt by panic.,vega
"In finance, what does 'convexity' mean in simple terms?",Convexity means that gains accelerate faster than losses for a given market move.
A financial product with a _____ payoff has its profit or loss change proportionally with the underlying asset's movement.,linear
What is a 'forward' contract?,"A forward is a private agreement today to trade an asset at a later date for a fixed price, with no optionality."
